id	absolute
39129	38
39131	38.5
39133	42.5
39135	42.2
39137	51.1
39139	39.4
39141	37.2
39143	42.5
39145	38.6
39147	44.3
39149	42.5
39151	39.8
39153	37.9
39155	39.2
39157	45.1
39159	42.4
39161	42.6
39163	39.3
39165	43.4
39167	43.3
39169	43.3
39171	45.9
39173	43.4
39175	48.9
40001	39.6
40003	
40005	45
40007	54
40009	52.1
40011	49.1
40013	41.2
40015	43.9
40017	46.9
40019	44.3
40021	40.7
40023	41.5
40025	
40027	44.7
40029	
40031	41.8
40033	47.4
40035	44.9
40037	42.9
40039	49.2
40041	41.8
40043	60.1
40045	
40047	46.4
40049	48.2
